,id,original_language,title,popularity,release_date,vote_average,vote_count
5398,411638,es,The Fury of a Patient Man,3.535,2016-09-09,6.573,433
5399,11183,fr,French Fried Vacation,3.823,1978-11-11,6.573,905
5400,6575,en,Walk Hard: The Dewey Cox Story,3.532,2007-12-21,6.574,684
5401,668,en,On Her Majesty's Secret Service,3.827,1969-12-18,6.573,1929
5402,413518,it,Pinocchio,3.54,2019-12-19,6.6,1512
5403,396810,en,The Last Word,3.573,2017-03-03,6.6,353
5404,70981,en,Prometheus,4.338,2012-05-30,6.572,12444
5405,51540,en,Horrible Bosses,4.367,2011-07-08,6.572,6410
5406,13105,en,Mr. Mom,3.53,1983-07-22,6.6,312
5407,11281,en,Halloween II,3.568,1981-10-30,6.6,2066
5408,1894,en,Star Wars: Episode II - Attack of the Clones,3.459,2002-05-15,6.571,13441
5409,88005,en,Seeking a Friend for the End of the World,3.783,2012-06-22,6.571,2095
5410,1945,en,Nell,3.53,1994-12-23,6.6,513
5411,623520,en,Z,3.79,2019-09-19,6.57,323
5412,417859,en,Puss in Boots,4.362,2011-10-27,6.57,4150
5413,967585,fr,Alibi.com 2,3.56,2023-02-08,6.6,425
5414,480001,en,The Art of Self-Defense,3.539,2019-07-12,6.6,742
5415,48289,en,The Debt,3.532,2010-09-30,6.569,898
5416,10539,en,James and the Giant Peach,3.531,1996-04-12,6.6,1335
5417,7450,en,Titan A.E.,3.531,2000-06-16,6.6,1091
5418,433310,en,When We First Met,3.537,2018-02-09,6.568,2293
5419,25059,en,Homeward Bound II: Lost in San Francisco,3.567,1996-03-08,6.568,479
5420,21159,en,The Last Man on Earth,3.531,1964-05-06,6.6,439
5421,20539,en,The Crucible,3.567,1996-11-27,6.568,506
5422,11247,en,A Cinderella Story,3.573,2004-07-16,6.6,3229
5423,4564,en,Sex and the City,3.609,2008-05-12,6.566,2143
5424,1586,en,Secret Window,3.82,2004-03-12,6.568,3667
5425,38093,en,Just Wright,3.532,2010-05-14,6.6,428
5426,19898,en,Pandorum,3.533,2009-09-08,6.6,2417
5427,3049,en,Ace Ventura: Pet Detective,4.657,1994-02-04,6.568,5896
5428,28696,en,The Wild One,3.531,1953-12-30,6.566,302
5429,9685,en,Igby Goes Down,3.531,2002-09-13,6.577,317
5430,613099,es,The Legacy of the Bones,3.546,2019-12-05,6.565,423
5431,471506,en,Greta,3.539,2019-02-28,6.6,1347
5432,75174,en,The Grey,3.83,2012-01-26,6.565,3863
5433,800158,en,The Killer,3.832,2023-10-25,6.565,2296
5434,733668,hy,Return,3.542,,6.564,380
5435,381890,zh,The Mermaid,3.536,2016-02-08,6.564,427
5436,163,en,Ocean's Twelve,4.653,2004-12-09,6.564,7354
5437,164457,en,Out of the Furnace,3.534,2013-11-09,6.6,1979
